name,url,country,iata,value,label,id
MetroJet,metrojet-usa,us,US ,MetroJet (US/USA),MetroJet (US/USA),1627
PB Air,pb-air-pba,th,9Q ,PB Air (9Q/PBA),PB Air (9Q/PBA),1009
PAN AIR Lineas Aereas,pan-air-lineas-aereas-pnr,es,PV ,PAN AIR Lineas Aereas (PV/PNR),PAN AIR Lineas Aereas (PV/PNR),619
Latavio,latavio-ltl,lv,PV ,Latavio (PV/LTL),Latavio (PV/LTL),1375
Privilege Style,privilege-style-pvg,es,   ,Privilege Style (/PVG),Privilege Style (/PVG),1086
Progress Multitrade,progress-multitrade-pmt,kh,U4 ,Progress Multitrade (U4/PMT),Progress Multitrade (U4/PMT),617
PT. Republic Express Airlines,pt-republic-express-airlines-rph,id,RH ,PT. Republic Express Airlines (RH/RPH),PT. Republic Express Airlines (RH/RPH),657
Pacific Airlines,pacific-airlines-pic,vn,BL ,Pacific Airlines (BL/PIC),Pacific Airlines (BL/PIC),610
Jetstar Pacific,jetstar-pacific-pic,vn,BL ,Jetstar Pacific (BL/PIC),Jetstar Pacific (BL/PIC),1654
Nordic European Airlines,nordic-european-airlines-nod,se,DJ ,Nordic European Airlines (DJ/NOD),Nordic European Airlines (DJ/NOD),1373
Tailwind Airlines,tailwind-airlines-twi,tr,   ,Tailwind Airlines (/TWI),Tailwind Airlines (/TWI),1389
Royal Airlines,royal-airlines-rpk,pk,R0 ,Royal Airlines (R0/RPK),Royal Airlines (R0/RPK),1361
President Airlines,president-airlines-psd,kh,TO ,President Airlines (TO/PSD),President Airlines (TO/PSD),625
Metropolis Noord,metropolis-noord-mps,nl,DN ,Metropolis Noord (DN/MPS),Metropolis Noord (DN/MPS),531
Pacific Island Aviation,pacific-island-aviation-psa,mp,9J ,Pacific Island Aviation (9J/PSA),Pacific Island Aviation (9J/PSA),1016
Proflight Zambia,proflight-zambia,zm,P0 ,Proflight Zambia (P0/PFZ),Proflight Zambia (P0/PFZ),1142
Pacific East Asia Cargo Airlines,pacific-east-asia-cargo-airlines-pec,ph,Q8 ,Pacific East Asia Cargo Airlines (Q8/PEC),Pacific East Asia Cargo Airlines (Q8/PEC),601
Pamir Air,pamir-air-pir,af,NR ,Pamir Air (NR/PIR),Pamir Air (NR/PIR),611
Tanana Air Service,tanana-air-service-tnr,us,4E ,Tanana Air Service (4E/TNR),Tanana Air Service (4E/TNR),1043
Penair,penair-pen,us,KS ,Penair (KS/PEN),Penair (KS/PEN),604
Spirit Airlines,spirit-airlines-nks,us,NK ,Spirit Airlines (NK/NKS),Spirit Airlines (NK/NKS),565
KAS Air Company,kas-air-company-ksd,kg,KW ,KAS Air Company (KW/KSD),KAS Air Company (KW/KSD),448
BKS Air Transport,bks-air-transport-bks,gb,BK ,BKS Air Transport (BK/BKS),BKS Air Transport (BK/BKS),1454
Sun Air,sun-air-suf,fj,PI ,Sun Air (PI/SUF),Sun Air (PI/SUF),731
Eurodirect Airlines,eurodirect-airlines-9r0,gb,9R ,Eurodirect Airlines (9R/9R0),Eurodirect Airlines (9R/9R0),1341
Polar Air Cargo,polar-air-cargo-pac,us,PO ,Polar Air Cargo (PO/PAC),Polar Air Cargo (PO/PAC),596
Pemair,pemair-pem,ca,PD ,Pemair (PD/PEM),Pemair (PD/PEM),603
Pelican Air Services,pelican-air-services-pdf,za,7V ,Pelican Air Services (7V/PDF),Pelican Air Services (7V/PDF),1012
Podillia Avia,podillia-avia-pda,ua,   ,Podillia Avia (/PDA),Podillia Avia (/PDA),1430
Sabre Pacific,sabre-pacific-apd,au,1Z ,Sabre Pacific (1Z/APD),Sabre Pacific (1Z/APD),882
Pacific Western Airlines,pacific-western-airlines,ca,PW ,Pacific Western Airlines (PW/PWA),Pacific Western Airlines (PW/PWA),1126
Sunstate Airlines,sunstate-airlines-ssq,au,QF ,Sunstate Airlines (QF/SSQ),Sunstate Airlines (QF/SSQ),1450
British United Air Ferries,british-united-air-ferries-vf0,gb,VF ,British United Air Ferries (VF/VF0),British United Air Ferries (VF/VF0),1396
Regional Air Lines,regional-air-lines-rgl,ma,FN ,Regional Air Lines (FN/RGL),Regional Air Lines (FN/RGL),643
Norlandair,norlandair-fna,is,   ,Norlandair (/FNA),Norlandair (/FNA),1384
Corporate Airlines,corporate-airlines-cea,us,3C ,Corporate Airlines (3C/CEA),Corporate Airlines (3C/CEA),905
Hazelton Airlines,hazelton-airlines-hzl,au,ZL ,Hazelton Airlines (ZL/HZL),Hazelton Airlines (ZL/HZL),370
ERA Aviation,era-aviation-erh,us,7H ,ERA Aviation (7H/ERH),ERA Aviation (7H/ERH),932
SATENA Servicio Aereo a Territorios Nacionales,satena-servicio-aereo-a-territorios-nacionales-nse,co,9N ,SATENA Servicio Aereo a Territorios Nacionales (9N/NSE),SATENA Servicio Aereo a Territorios Nacionales (9N/NSE),1000
Brindabella Airlines,brindabella-airlines-br0,au,FQ ,Brindabella Airlines (FQ/BR0),Brindabella Airlines (FQ/BR0),1166
Air Choice One,air-choice-one-wbr,us,3E ,Air Choice One (3E/WBR),Air Choice One (3E/WBR),1522
T'way Airlines,tway-airlines-twb,kr,TW ,T'way Airlines (TW/TWB),T'way Airlines (TW/TWB),1610
Eirjet,eirjet-eir,ie,   ,Eirjet (/EIR),Eirjet (/EIR),1438
Caucasus Airlines,caucasus-airlines-srj,ge,NS ,Caucasus Airlines (NS/SRJ),Caucasus Airlines (NS/SRJ),722
Shaheen Air International,shaheen-air-international-sai,pk,NL ,Shaheen Air International (NL/SAI),Shaheen Air International (NL/SAI),674
